Anon01  ,crsid@cam.ac.uk  ,P2 ,#1  ,X05  ,58b69d9b460b87a934e8c69006e47c7cbaab78838a725320ccce1fab9434d970
Anon30  ,crsid@cam.ac.uk  ,P4 ,#3  ,RRE  ,df76c2fd78db127c5c4da1ed62f890beba6a311fe429b517259f48ad9a03b825
Anon31  ,crsid@cam.ac.uk  ,P2 ,#1  ,61F  ,878305769823ebb0404044a2927f2a634dadcd60c5661a3e10998993cd0cf92e
Anon32  ,crsid@cam.ac.uk  ,P1 ,#1  ,49K  ,21ad87ae8eabbdbe746aa690e4cb67683f43a081be4813a87503cd833f739aab
Anon33  ,crsid@cam.ac.uk  ,P3 ,#2  ,S13  ,993d0ab06e5b5d4fa57ad84612451f3b5edb4aebd52c8a49c7cbe66a0915bafd
Anon34  ,crsid@cam.ac.uk  ,P3 ,#1  ,49C  ,e440b88a6577113d54112cebebba52f1e0d15f9068d3e2c2ab78d25ce68afad3
Anon35  ,crsid@cam.ac.uk  ,P2 ,#1  ,F1A  ,f6aa2a518c9f5db559017eb76b4ebd39e4a26ce66970faab036399a2fd0a9eb7
Anon36  ,crsid@cam.ac.uk  ,P4 ,#5  ,B08  ,4187bd136c1dcdf9d05b8c86c36b61baa48f3b5d6e227df5a9361261607d1590
Anon37  ,crsid@cam.ac.uk  ,P4 ,#2  ,S04  ,d5ef237a2cabb0d79e5b32a1e99bb59723733733a2bb3742433933f3d411dee1
Anon38  ,crsid@cam.ac.uk  ,P2 ,#1  ,B01  ,7d9d0fa9f323c59e2111472dec290f8015a9da8b328b9eea8420d8e54ce7880e
Anon39  ,crsid@cam.ac.uk  ,P2 ,#3  ,S11  ,05046888d40e8e90ee0ec83d5f31cb04b985484509e3873632f7774413ee3721
Anon40  ,crsid@cam.ac.uk  ,P2 ,#1  ,62F  ,2b2752f4e4c63b98827873f025d7963a3f06f12b5cb03e29cfe1579c8c0dc5cd
Anon41  ,crsid@cam.ac.uk  ,P2 ,#1  ,A06  ,51c360184de8c4f15263a15d56d0e6526373249e0d6ccec1f76d9152ad4c0969
Anon42  ,crsid@cam.ac.uk  ,P2 ,#1  ,3A   ,bd7dc6b7547193be49ec794c57efdd35f62fa66ee4e6a501a693c0be119b6a82
Anon43  ,crsid@cam.ac.uk  ,P4 ,#4  ,OX1  ,0a775dbeb71ba9157946603921134c51e95be9f0193da11a89283965f583fb86
Anon44  ,crsid@cam.ac.uk  ,P2 ,#2  ,49S  ,b26093fe0479bf28d6a67c75b10cea444043e3b61904825e98e66e35a786fbb5
Anon45  ,crsid@cam.ac.uk  ,P1 ,#1  ,RRA  ,5f5f6143ed848dfbae6da524f59727614f71cb5e7fb710817a38bc1c759269f0
Anon46  ,crsid@cam.ac.uk  ,P1 ,#1  ,RRH  ,6a2500dd7e183b206da4af73622ac6f81e9b9eb93a7240efc115b95fc8c3dba0
Anon47  ,crsid@cam.ac.uk  ,P4 ,#1  ,HR1  ,2e851e20e277d9e5bf05f9894dd4b30b896c55454942e6146cbb875d1b3530ee
Anon48  ,crsid@cam.ac.uk  ,P1 ,#2  ,AB4  ,9c3049e5d26910b2f25ec7c37e3665c6a63bff08717b805e97b3f163af03423c
Anon49  ,crsid@cam.ac.uk  ,P3 ,#1  ,B06  ,351edcdd65e979ed1a21f28a80ca143a5236c4c534c0d2c33a64428eaad71a6c
Anon50  ,crsid@cam.ac.uk  ,P4 ,#2  ,RRB  ,95fa44360dc33d0a67429f83e76f0e149e6c12b12198521ee7ffaee9c9465af8
Anon51  ,crsid@cam.ac.uk  ,P0 ,#2  ,49E  ,cf9c82dac1d543595dafc45ab14780aee1f8837d8a9332440d38cfdd412febbc
Anon52  ,crsid@cam.ac.uk  ,P1 ,#4  ,62K  ,c418b5ed951740cec8042c55bc5b07a5df716a07080059976e7d83fade27368b
Anon53  ,crsid@cam.ac.uk  ,P4 ,#2  ,V01  ,8adec182fe7360feb8628bf6f414d51b337e4488a947df0c3f922ee8eaedb139
Anon54  ,crsid@cam.ac.uk  ,P4 ,#2  ,F1B  ,620f9c8dfd0c0bb209c79a5b636e1f22d4c3e7e6fc8acfc017c41ddad6547f67
Anon55  ,crsid@cam.ac.uk  ,P4 ,#1  ,HR5  ,c8e64da6659bd09c41671b94cbcf1688b95243d271a5249ad342380c08b1f2e3
Anon56  ,crsid@cam.ac.uk  ,P4 ,#1  ,S01  ,06f36b15471a10df5e98be25ceeb16a0c2538fabb23e6a4fb511b54d1fd67691
Anon57  ,crsid@cam.ac.uk  ,P2 ,#1  ,A02  ,4926d1b59ee6a4f92f4e65c50d30094fc3dd154e16f683a0165afafa39516c49
Anon58  ,crsid@cam.ac.uk  ,P2 ,#1  ,63H  ,c2d456f5431c7287ff888fae96e7af687b0191f472a9da18ed2c5a463246b2bd
Anon59  ,crsid@cam.ac.uk  ,P2 ,#1  ,61E  ,f265548b79c8197de0cad2f9153cb64a3edefcfc546bcd56786bea4ead924e9d
Anon60  ,crsid@cam.ac.uk  ,P4 ,#4  ,34G  ,540e29dd3abf3615bc6478a13dbc4aac3f0e55fc710b72988e7779ef8bdbc460
Anon61  ,crsid@cam.ac.uk  ,P2 ,#2  ,RRD  ,293fb79473fb680f06f5efdc7afae1f32ed92b6473c19ac88eeb9a59a9e50dbd
Anon62  ,crsid@cam.ac.uk  ,P2 ,#1  ,61H  ,bbd85d708f31af8f6ed144d4d5df518f7dcdebe32806fbd41566786a3258b84c
Anon63  ,crsid@cam.ac.uk  ,P2 ,#5  ,61A  ,c5a6e1a7731247eac512d7c3e75827ef585b9290b26a7066eca063a012e8d8a4
Anon64  ,crsid@cam.ac.uk  ,P4 ,#1  ,B07  ,0fcf442a10a94f5330281009f3da99a2ccc4b6f1f495f092717da84c6c3d3f9e
Anon65  ,crsid@cam.ac.uk  ,P4 ,#1  ,OX3  ,bd22d5621e4ffdc17b6f1619116d247ee6f125571ea7047f74ae062c6b957ae5
Anon66  ,crsid@cam.ac.uk  ,P4 ,#3  ,F1C  ,683e21a5ccf3d8a3a9fac581e5466ea7b4fd29ad8aa5dab4c517665acdc3f63c
Anon67  ,crsid@cam.ac.uk  ,P2 ,#1  ,3C   ,3d04ab51961413f59537ec25f4c0fc15e1399a6bde7e98dcfea2ac8804004ecb
Anon68  ,crsid@cam.ac.uk  ,P2 ,#1  ,49B  ,df203765af9d9803f9ce6bbb00033553fedd7e958fd486e7bf276f4b182f8f64
Anon69  ,crsid@cam.ac.uk  ,P2 ,#2  ,49F  ,f65e5e99da6b3b9cbe7c001a11178d0b348578a3251368865df7ac10b9557e6a
Anon70  ,crsid@cam.ac.uk  ,P1 ,#4  ,RRG  ,519fd8d1a1181c48c7d321728cdb6d66c48bdb5fc34056b00a95261f62f38899
Anon71  ,crsid@cam.ac.uk  ,P0 ,#1  ,62B  ,ed6fdd2de95ec28ce376e73e95e211fec33b1259708630a946886ca7c108bb9b
Anon72  ,crsid@cam.ac.uk  ,P1 ,#2  ,62G  ,2e60e25a34f4d03bf219c7ce7082d124aa1bde75421a81feb8778416e082750e
Anon73  ,crsid@cam.ac.uk  ,P2 ,#1  ,34E  ,aec114e9331ffe19c745b65f4baee36370771912736ed518cd50c97e8e1553bd
Anon74  ,crsid@cam.ac.uk  ,P4 ,#2  ,S08  ,7f84e612ad837b095fb649873974f89ad1265028e1d38782ae845bdeda4c8b4f
Anon75  ,crsid@cam.ac.uk  ,P2 ,#1  ,63E  ,b7f6f7f9b23964bc3e8e6241d31f8499bb12aa13825607ea9c989421016eced8
Anon76  ,crsid@cam.ac.uk  ,P4 ,#1  ,X10  ,14285231204b270987dd3c9f53be485c23538293fe8f1c409eb8a202bd75a28e
Anon77  ,crsid@cam.ac.uk  ,P2 ,#1  ,XO8  ,2c42b596c955454d639e1fd10ff84f31e1a9d1775c7a88bd36720990a3d1b324
Anon78  ,crsid@cam.ac.uk  ,P2 ,#1  ,S14  ,1a8370bc7dc7097f45559fde521efa768e7fb32dee023c5031eb912d16763cdc
Anon79  ,crsid@cam.ac.uk  ,P4 ,#1  ,B04  ,8079f259f7344302bf1c392d7dddfaefa77060b13709d16db08d290156a9af1d
Anon90  ,crsid@cam.ac.uk  ,P2 ,#3  ,A05  ,7d6c749391e38f2e53c5ec462f8e8248e5f9d249cb26585e31cc5763b23e2124
